HFA,KFA,HAA,KVA,AVA,KVM,KFM,ASF,H/Q,ACL stress
18.5427481,19.80783374,28.91901675,3.24024969,3.09667902,-0.239221288,0.042225737,-0.544104752,0.587281737,2.383692822
18.54166457,32.17240396,17.35703674,3.64666778,9.6840563,-0.190894361,0.041336233,-1.254604418,0.764627679,2.052062117
18.35265353,20.16197743,21.24016241,3.39542387,-3.73992979,0.008511319,0.027895922,0.031962635,0.457612471,2.396563955
18.31233905,38.95323969,23.64061337,5.09197211,11.69410666,-0.145144716,0.041201994,-1.173053777,0.767683081,2.019115326
18.07035942,36.12886805,22.50338339,5.14965685,11.42781087,-0.113022729,0.036734759,-0.890725811,0.737319543,2.082295945
17.98785446,23.25843347,19.72117889,4.62381336,-0.49460042,-0.18680539,0.046855902,-0.782058924,0.619456035,2.302091414
17.97220782,14.82608089,25.2512513,2.33225111,-3.01099185,-0.23557727,0.033822568,-0.082607991,0.441032578,2.473832753
17.96269676,17.05283136,27.11047815,2.49216691,-5.58129085,0.011830849,0.022910818,0.144344123,0.513999559,2.426499214
17.94670955,27.82334219,23.02704977,5.81684521,6.95949503,-0.020466291,0.032170813,-0.212364137,0.64459502,2.242619764
17.89701387,11.34053683,26.86755892,0.91494335,-6.63791049,-0.017333392,0.022476728,0.2820004,0.409961128,2.547773643
17.80847276,13.62660068,29.20122749,1.62064205,-3.81213707,-0.131666768,0.03120337,0.069055474,0.467867378,2.532475033
17.80641087,14.80423937,30.28060447,1.42648874,-2.01140939,-0.038599733,0.028348772,0.14835139,0.521735337,2.481527404
17.73306832,33.00867408,25.87935372,2.85305917,8.48127802,-0.0812581,0.04110406,-0.706684708,0.694379307,2.142433925
17.69548185,21.14521997,18.46163424,2.26530608,0.40278725,-0.205318685,0.038796838,-0.25991454,0.509664767,2.381461159
17.64365103,40.36247451,24.46020017,5.78818905,12.65185141,-0.164529858,0.042001494,-1.329614777,0.781891942,1.988353882
17.40770102,17.97934735,18.60686132,1.77705146,-3.70681857,-0.042263647,0.034849108,-0.022003246,0.476726928,2.480107665
17.38133636,25.26006601,26.39112952,6.07986433,6.59253706,0.014255185,0.073318898,-1.793691587,0.572955529,2.315003382
